"","A","B","C","D","E"
"999","a","a","a","a","a"
"1000","b","a","c","c","b"
"1001","b","b","a","b","a"
"1002","b","b","a","a","c"
"1003","a","a","a","a","a"
"1004","b","a","b","a","b"
"1005","b","a","a","a","a"
"1006","b","c","a","b","c"
"1007","b","a","a","b","a"
"1008","c","a","a","c","a"
"1009","b","c","a","b","c"
"1010","a","a","a","a","b"
"1011","b","c","a","b","c"
"1012","c","c","a","c","b"
"1013","b","a","b","a","b"
"1014","a","a","a","a","a"
"1015","a","a","b","c","a"
"1016","a","a","a","a","a"
"1017","b","b","b","a","c"
"1018","c","c","b","b","b"
"1019","a","a","b","c","b"
"1020","c","c","a","b","b"
"1021","b","c","a","b","b"
"1022","c","a","b","a","a"
"1023","b","b","a","b","c"
"1024","b","c","b","a","a"
"1025","a","a","a","a","b"
"1026","c","c","b","b","c"
"1027","b","c","a","b","a"
"1028","c","c","a","c","b"
"1029","a","a","a","a","a"
"1030","b","c","b","a","b"
"1031","b","b","a","a","c"
"1032","a","a","a","a","b"
"1033","c","c","a","c","b"
"1034","c","c","a","c","a"
"1035","c","c","b","a","a"
"1036","b","c","a","b","b"
"1037","c","b","a","b","b"
"1038","a","a","a","a","a"
"1039","c","c","a","b","b"
"1040","c","c","a","c","c"
"1041","a","a","a","a","b"
"1042","c","a","c","c","b"
"1043","c","c","b","b","b"
"1044","a","a","a","a","a"
"1045","a","a","a","b","a"
"1046","b","b","a","b","c"
"1047","c","c","a","c","b"
"1048","b","a","a","b","b"
"1049","b","b","a","a","c"
"1050","b","b","a","b","b"
"1051","b","a","a","b","a"
"1052","a","a","a","a","a"
"1053","b","a","a","b","a"
"1054","b","c","a","c","b"
"1055","c","c","a","c","c"
"1056","c","a","a","b","a"
"1057","b","a","a","b","b"
"1058","c","c","c","a","b"
"1059","b","c","b","a","c"
"1060","b","a","a","c","a"
"1061","c","b","a","c","c"
"1062","a","a","a","c","a"
"1063","a","a","a","b","c"
"1064","c","a","b","b","b"
"1065","a","a","b","c","a"
"1066","a","a","a","a","a"
"1067","b","c","a","a","b"
"1068","a","a","a","a","a"
"1069","a","a","a","a","a"
"1070","a","a","a","a","a"
"1071","a","a","a","a","b"
"1072","c","c","a","c","c"
"1073","a","a","a","a","a"
"1074","b","a","a","b","a"
"1075","b","c","c","a","b"
"1076","a","a","a","a","a"
"1077","c","c","c","c","c"
"1078","a","a","a","a","a"
"1079","b","a","a","b","a"
"1080","b","a","b","a","a"
"1081","c","c","a","b","c"
"1082","b","a","a","b","b"
"1083","b","b","a","b","c"
"1084","a","a","a","a","b"
"1085","c","c","a","c","c"
"1086","a","c","a","a","c"
"1087","c","c","b","c","b"
"1088","c","c","a","c","b"
"1089","c","c","b","a","c"
"1090","c","c","c","b","c"
"1091","a","c","a","a","c"
"1092","c","c","a","c","c"
"1093","a","a","b","c","a"
"1094","b","a","a","b","a"
"1095","a","a","a","b","a"
"1096","b","a","a","b","a"
"1097","b","a","a","c","b"
"1098","c","c","a","c","c"
"1099","c","c","a","c","b"
"1100","c","c","a","c","c"
"1101","c","c","a","c","c"
"1102","c","c","c","c","c"
"1103","c","c","a","c","c"
"1104","c","c","a","b","c"
"1105","a","a","a","a","c"
"1106","a","a","b","c","b"
"1107","b","b","a","a","b"
"1108","c","c","a","b","c"
"1109","b","a","a","b","c"
"1110","b","a","a","b","a"
"1111","a","a","a","a","b"
"1112","c","c","a","b","c"
"1113","c","c","a","c","c"
"1114","c","c","a","c","c"
"1115","b","a","a","b","a"
"1116","b","c","a","b","b"
"1117","c","c","a","b","c"
"1118","a","a","a","a","a"
"1119","c","a","a","c","b"
"1120","c","c","a","c","c"
"1121","c","a","a","c","a"
"1122","a","a","b","c","a"
"1123","c","c","a","c","b"
"1124","c","c","a","c","c"
"1125","a","c","a","a","c"
"1126","b","b","b","a","a"
"1127","c","c","a","b","b"
"1128","b","b","b","a","c"
"1129","b","b","a","b","c"
"1130","c","c","a","a","c"
"1131","a","a","a","a","a"
"1132","a","a","a","a","c"
"1133","b","a","a","b","a"
"1134","a","a","b","c","a"
"1135","b","b","a","b","c"
"1136","b","a","a","b","a"
"1137","c","c","c","c","b"
"1138","c","c","c","b","b"
"1139","b","c","a","b","b"
"1140","b","a","b","a","a"
"1141","c","c","a","c","a"
"1142","c","c","b","b","c"
"1143","a","a","b","c","a"
"1144","a","b","b","c","c"
"1145","b","a","a","b","c"
"1146","c","c","a","c","b"
"1147","c","c","a","c","b"
"1148","a","a","a","a","a"
"1149","b","a","a","b","a"
"1150","c","c","a","c","b"
"1151","a","a","a","a","a"
"1152","c","c","a","c","b"
"1153","b","c","b","a","c"
"1154","c","c","a","c","c"
"1155","c","c","a","c","c"
"1156","a","a","a","a","a"
"1157","c","c","a","b","c"
"1158","a","a","a","c","c"
"1159","c","c","a","a","c"
"1160","c","c","a","c","c"
"1161","b","a","a","a","a"
"1162","b","c","a","a","c"
"1163","c","c","a","c","c"
"1164","a","b","a","a","a"
"1165","b","c","a","b","c"
"1166","b","b","b","a","a"
"1167","a","a","a","a","b"
"1168","a","a","b","c","a"
"1169","a","a","a","a","b"
"1170","c","c","a","c","c"
"1171","a","a","a","a","b"
"1172","b","c","a","c","b"
"1173","b","c","b","a","c"
"1174","b","a","c","c","a"
"1175","c","c","a","c","c"
"1176","b","b","a","a","b"
"1177","a","a","b","b","a"
"1178","b","a","a","a","b"
"1179","b","c","a","b","a"
"1180","a","a","a","c","a"
"1181","b","b","a","a","a"
"1182","a","a","b","a","a"
"1183","c","c","b","c","b"
"1184","a","a","a","c","a"
"1185","c","c","b","a","a"
"1186","a","a","b","c","a"
"1187","a","a","a","a","b"
"1188","b","a","a","a","a"
"1189","b","a","b","a","a"
"1190","c","c","a","c","b"
"1191","b","c","a","b","c"
"1192","c","c","a","c","a"
"1193","c","c","a","c","a"
"1194","c","c","a","c","c"
"1195","a","a","c","c","a"
"1196","a","a","a","a","b"
"1197","c","c","b","c","b"
"1198","b","c","a","b","c"
"1199","b","c","a","b","c"
"1200","c","c","a","c","b"
"1201","a","a","a","b","c"
"1202","c","c","a","c","a"
"1203","c","c","a","c","b"
"1204","a","a","a","a","a"
"1205","a","a","a","a","a"
"1206","a","c","a","a","c"
"1207","a","c","b","a","a"
"1208","c","c","b","b","b"
"1209","c","c","a","b","c"
"1210","b","b","c","a","c"
"1211","b","c","a","b","c"
"1212","c","b","a","c","b"
"1213","a","a","a","c","a"
"1214","c","c","a","c","b"
"1215","b","b","a","a","b"
"1216","c","a","a","c","b"
"1217","c","c","a","c","c"
"1218","c","a","a","a","b"
"1219","a","a","a","c","b"
"1220","c","c","a","c","a"
"1221","c","c","a","c","b"
"1222","a","a","a","a","b"
"1223","c","c","a","b","c"
"1224","c","c","c","b","a"
"1225","b","a","a","b","c"
"1226","b","a","a","b","a"
"1227","c","c","c","a","a"
"1228","a","a","a","a","a"
"1229","a","a","c","b","b"
"1230","c","c","a","c","c"
"1231","a","c","a","a","c"
"1232","a","a","b","c","a"
"1233","a","a","a","a","b"
"1234","b","b","a","c","a"
"1235","a","a","b","c","a"
"1236","b","c","b","a","c"
"1237","b","a","a","b","a"
"1238","c","b","a","c","b"
"1239","a","a","a","a","a"
"1240","c","a","a","c","b"
"1241","a","a","a","a","b"
"1242","c","c","a","c","c"
"1243","a","a","c","a","a"
"1244","a","b","a","a","c"
"1245","b","a","a","b","a"
"1246","a","a","a","a","a"
"1247","a","a","a","a","a"
"1248","b","a","a","b","c"
"1249","b","c","a","a","c"
"1250","a","c","a","c","b"
"1251","c","c","a","c","b"
"1252","b","c","a","b","b"
"1253","b","c","a","b","c"
"1254","c","c","b","c","b"
"1255","c","a","b","b","a"
"1256","b","b","a","c","b"
"1257","b","b","b","a","c"
"1258","b","a","a","b","a"
"1259","b","b","a","b","b"
"1260","b","c","a","a","a"
"1261","a","a","a","a","a"
"1262","c","c","a","c","c"
"1263","b","a","a","b","c"
"1264","c","c","a","c","c"
"1265","a","b","a","a","b"
"1266","a","a","a","a","a"
"1267","a","a","a","a","b"
"1268","c","c","a","a","c"
"1269","a","a","b","c","a"
"1270","b","c","a","b","c"
"1271","a","c","b","a","b"
"1272","b","a","a","a","b"
"1273","b","a","b","a","a"
"1274","a","a","a","a","b"
"1275","a","a","c","a","a"
"1276","b","a","b","b","a"
"1277","c","c","a","c","c"
"1278","b","c","b","c","c"
"1279","a","a","b","c","a"
"1280","a","a","a","a","b"
"1281","a","a","a","b","b"
"1282","c","c","b","b","b"
"1283","c","c","a","c","c"
"1284","a","a","a","a","a"
"1285","a","a","a","a","a"
"1286","c","c","a","c","c"
"1287","c","c","a","c","b"
"1288","a","c","b","b","b"
"1289","a","a","a","a","c"
"1290","b","a","a","b","a"
"1291","c","c","a","c","c"
"1292","b","c","a","a","b"
"1293","b","c","a","b","c"
"1294","b","b","a","b","c"
"1295","b","c","a","b","b"
"1296","a","a","b","c","b"
"1297","a","a","a","b","b"
"1298","c","a","a","c","c"
"1299","b","a","a","b","a"
"1300","c","c","a","c","c"
"1301","b","a","b","a","c"
"1302","c","c","a","c","b"
"1303","c","c","a","c","c"
"1304","a","a","a","a","b"
"1305","a","a","a","a","a"
"1306","c","c","b","a","c"
"1307","a","a","a","c","a"
"1308","a","c","a","a","b"
"1309","b","a","a","b","c"
"1310","b","c","c","a","c"
"1311","c","b","a","c","a"
"1312","b","a","a","b","a"
"1313","a","a","a","a","a"
"1314","a","a","a","a","a"
"1315","c","c","a","c","c"
"1316","c","c","a","c","c"
"1317","c","a","a","c","a"
"1318","a","a","a","c","a"
"1319","b","b","c","c","c"
"1320","a","a","a","b","a"
"1321","a","a","a","a","b"
"1322","a","a","a","b","a"
"1323","c","c","a","b","c"
"1324","a","a","a","b","a"
"1325","c","c","a","c","a"
"1326","b","c","b","a","a"
"1327","b","a","a","b","a"
"1328","a","a","a","b","a"
"1329","b","b","a","b","a"
"1330","a","c","a","a","c"
"1331","c","b","b","a","b"
"1332","c","a","a","c","a"
"1333","a","a","b","c","a"
"1334","b","a","b","a","b"
"1335","a","a","a","a","b"
"1336","b","a","a","b","b"
"1337","c","c","a","c","b"
"1338","c","c","a","b","c"
"1339","a","b","a","a","c"
"1340","a","a","a","a","b"
"1341","b","c","b","a","c"
"1342","b","c","a","a","c"
"1343","c","c","b","b","c"
"1344","c","c","a","c","c"
"1345","a","b","a","a","a"
"1346","c","c","a","c","b"
"1347","a","c","a","a","c"
"1348","b","a","a","b","b"
"1349","b","a","a","a","a"
"1350","a","a","a","a","a"
"1351","a","a","a","a","b"
"1352","b","a","a","b","b"
"1353","b","a","a","b","a"
"1354","a","a","a","a","a"
"1355","c","a","b","b","b"
"1356","c","c","a","c","b"
"1357","b","a","c","a","a"
"1358","b","c","a","b","c"
"1359","b","a","a","b","a"
"1360","c","c","c","b","b"
"1361","c","c","b","a","b"
"1362","c","c","c","b","c"
"1363","a","a","a","a","b"
"1364","b","a","c","b","a"
"1365","a","a","a","b","b"
"1366","b","c","a","b","c"
"1367","a","a","a","a","a"
"1368","a","a","a","a","c"
"1369","b","b","c","c","c"
"1370","a","a","a","b","b"
"1371","b","a","a","b","a"
"1372","a","c","a","a","b"
"1373","c","c","a","a","c"
"1374","c","c","a","c","b"
"1375","a","a","a","c","a"
"1376","b","b","a","b","c"
"1377","c","c","a","b","b"
"1378","c","c","b","a","b"
"1379","b","c","b","a","c"
"1380","a","a","a","a","b"
"1381","c","c","a","c","c"
"1382","a","a","c","c","b"
"1383","b","b","a","b","c"
"1384","b","c","a","b","a"
"1385","c","c","a","b","c"
"1386","b","b","c","b","b"
"1387","a","a","c","c","a"
"1388","c","c","a","c","b"
"1389","b","b","a","b","c"
"1390","b","c","b","a","c"
"1391","c","c","b","b","b"
"1392","a","a","a","a","a"
"1393","b","a","a","b","a"
"1394","b","a","a","b","b"
"1395","b","a","a","a","a"
"1396","c","c","a","c","b"
"1397","c","c","a","c","c"
"1398","c","c","a","c","a"
"1399","b","b","a","b","b"
"1400","c","a","a","c","b"
"1401","c","c","a","c","c"
"1402","b","a","a","b","a"
"1403","a","b","c","c","a"
"1404","a","a","a","a","c"
"1405","b","b","a","b","c"
"1406","a","a","b","a","a"
"1407","b","a","a","b","b"
"1408","c","c","b","b","c"
"1409","a","a","b","c","a"
"1410","c","c","a","c","c"
"1411","c","c","a","c","c"
"1412","b","a","a","b","b"
"1413","c","c","a","c","c"
"1414","b","c","a","b","a"
"1415","a","a","c","a","a"
"1416","c","c","a","c","b"
"1417","c","c","a","c","c"
"1418","b","c","a","b","c"
"1419","a","a","c","b","b"
"1420","a","a","a","a","b"
"1421","b","c","a","c","c"
"1422","b","a","a","b","a"
"1423","c","b","b","b","b"
"1424","a","a","a","a","c"
"1425","b","a","a","b","b"
"1426","b","a","a","b","a"
"1427","b","a","a","a","c"
"1428","a","a","a","a","a"
"1429","c","c","a","c","c"
"1430","c","c","a","c","b"
"1431","b","c","a","b","b"
"1432","c","c","a","c","c"
"1433","b","a","a","b","b"
"1434","a","a","a","a","c"
"1435","a","a","b","c","a"
"1436","c","c","a","c","a"
"1437","b","b","a","a","a"
"1438","c","c","a","c","b"
"1439","a","c","a","a","b"
"1440","b","a","a","b","c"
"1441","b","a","b","c","b"
"1442","a","a","b","b","a"
"1443","c","c","a","c","c"
"1444","b","a","a","b","c"
"1445","a","c","b","c","b"
"1446","c","c","a","c","b"
"1447","c","c","a","a","c"
"1448","b","b","a","b","a"
"1449","a","a","a","a","a"
"1450","a","a","b","b","a"
"1451","b","a","a","b","a"
"1452","a","a","a","a","a"
"1453","b","b","a","b","c"
"1454","a","a","b","a","a"
"1455","a","a","a","a","b"
"1456","c","c","b","a","c"
"1457","c","c","a","c","c"
"1458","b","c","b","a","a"
"1459","a","a","c","c","a"
"1460","b","c","a","b","c"
"1461","c","c","a","c","a"
"1462","a","a","a","a","b"
"1463","c","a","a","c","a"
"1464","c","c","a","c","b"
"1465","b","a","a","a","b"
"1466","c","c","a","c","b"
"1467","c","c","a","c","b"
"1468","c","c","a","c","c"
"1469","b","b","a","b","c"
"1470","c","b","b","b","c"
"1471","c","b","a","c","c"
"1472","c","c","a","c","b"
"1473","a","a","a","a","a"
"1474","b","a","a","b","a"
"1475","c","c","b","b","a"
"1476","b","b","b","a","b"
"1477","b","b","a","b","c"
"1478","b","b","a","b","a"
"1479","c","c","a","c","c"
"1480","c","c","b","b","c"
"1481","b","a","a","b","a"
"1482","b","b","a","b","a"
"1483","b","a","a","c","a"
"1484","c","c","a","c","b"
"1485","c","b","a","a","a"
"1486","a","a","a","a","b"
"1487","b","c","b","a","c"
"1488","c","c","a","c","a"
"1489","c","c","a","c","b"
"1490","c","c","b","b","a"
"1491","a","a","a","a","b"
"1492","a","a","a","a","c"
"1493","c","c","a","c","c"
"1494","a","a","a","a","a"
"1495","b","a","a","b","b"
"1496","c","c","b","b","c"
"1497","b","c","a","b","a"
"1498","c","b","a","c","a"
"1499","a","a","a","a","a"
"1500","b","b","a","b","b"
"1501","a","a","a","a","c"
"1502","a","c","a","a","b"
"1503","a","a","a","a","c"
"1504","a","a","a","c","b"
"1505","b","a","c","b","b"
"1506","a","a","a","c","a"
"1507","b","a","a","b","a"
"1508","a","b","b","c","a"
"1509","a","c","a","a","c"
"1510","a","a","a","a","b"
"1511","a","a","a","c","a"
"1512","a","a","b","c","a"
"1513","c","c","a","c","c"
"1514","b","a","a","b","a"
"1515","c","c","a","c","c"
"1516","b","c","a","c","a"
"1517","b","c","b","a","a"
"1518","b","c","a","b","b"
"1519","b","c","a","c","c"
"1520","b","a","a","c","b"
"1521","b","b","a","b","a"
"1522","c","b","a","c","a"
"1523","c","c","a","c","b"
"1524","b","a","c","a","c"
"1525","c","c","a","c","c"
"1526","a","a","a","a","b"
"1527","a","a","a","a","a"
"1528","a","a","a","a","b"
"1529","a","a","b","c","b"
"1530","c","b","a","c","c"
"1531","b","a","a","c","a"
"1532","a","a","a","a","c"
"1533","c","b","a","c","a"
"1534","c","a","a","c","b"
"1535","b","c","a","b","b"
"1536","c","c","a","c","a"
"1537","a","a","a","a","c"
"1538","b","a","a","a","a"
"1539","c","c","a","c","c"
"1540","c","c","a","b","b"
"1541","b","b","a","b","b"
"1542","b","c","a","b","a"
"1543","c","c","a","c","b"
"1544","a","a","c","a","a"
"1545","b","a","a","b","b"
"1546","c","c","a","c","a"
"1547","b","a","a","a","a"
"1548","c","c","a","c","b"
"1549","b","b","c","a","c"
"1550","c","b","a","c","b"
"1551","b","a","a","a","b"
"1552","b","a","a","b","a"
"1553","b","c","a","b","c"
"1554","c","c","a","c","c"
"1555","c","c","a","c","b"
"1556","a","a","a","a","c"
"1557","a","a","c","b","a"
"1558","b","a","a","b","a"
"1559","b","a","a","b","a"
"1560","c","c","b","b","c"
"1561","c","c","a","c","c"
"1562","a","a","a","c","b"
"1563","a","a","a","a","a"
"1564","c","c","a","c","c"
"1565","c","c","b","c","b"
"1566","b","c","b","a","a"
"1567","a","a","a","a","a"
"1568","b","c","a","b","a"
"1569","c","c","a","c","c"
"1570","a","a","a","a","b"
"1571","b","a","a","b","a"
"1572","c","a","a","c","a"
"1573","b","c","a","c","c"
"1574","a","c","a","a","c"
"1575","a","a","a","b","b"
"1576","a","a","a","a","b"
"1577","b","a","a","b","a"
"1578","b","b","a","b","c"
"1579","b","c","b","a","a"
"1580","c","c","a","c","c"
"1581","a","a","a","b","a"
"1582","a","a","b","a","b"
"1583","c","b","a","b","a"
"1584","c","a","a","c","a"
"1585","b","a","b","a","a"
"1586","c","c","b","a","b"
"1587","a","a","a","b","a"
"1588","b","c","a","c","c"
"1589","c","c","b","a","c"
"1590","b","c","c","b","c"
"1591","b","c","a","b","c"
"1592","b","a","a","b","c"
"1593","a","a","a","a","a"
"1594","a","a","b","c","b"
"1595","c","c","b","c","a"
"1596","b","a","a","b","a"
"1597","c","c","a","c","b"
"1598","c","c","a","b","c"
"1599","c","c","a","c","c"
"1600","b","b","a","b","c"
"1601","c","b","c","a","b"
"1602","b","a","b","a","c"
"1603","b","c","a","b","b"
"1604","c","c","b","a","c"
"1605","b","b","c","b","b"
"1606","b","c","a","b","c"
"1607","b","a","a","b","a"
"1608","c","c","a","c","c"
"1609","c","c","c","b","a"
"1610","b","a","a","b","a"
"1611","a","a","b","c","a"
"1612","b","a","a","b","b"
"1613","b","b","a","a","a"
"1614","b","c","a","b","b"
"1615","c","c","b","a","b"
"1616","a","a","a","a","b"
"1617","b","b","b","a","b"
"1618","b","a","a","b","a"
"1619","b","a","a","b","c"
"1620","a","a","b","b","b"
"1621","a","a","b","c","a"
"1622","c","c","a","c","c"
"1623","a","a","b","a","a"
"1624","a","a","b","a","a"
"1625","b","a","a","b","a"
"1626","b","c","a","b","b"
"1627","b","c","a","b","a"
"1628","c","c","a","c","c"
"1629","b","a","a","b","a"
"1630","c","c","a","c","c"
"1631","a","a","a","a","a"
"1632","c","c","a","c","b"
"1633","c","c","a","c","b"
"1634","c","c","a","b","a"
"1635","c","c","a","b","c"
"1636","b","c","a","a","c"
"1637","a","b","a","a","a"
"1638","b","a","a","c","b"
"1639","b","a","a","b","b"
"1640","a","a","a","a","a"
"1641","a","a","a","a","a"
"1642","a","a","a","a","a"
"1643","a","a","a","a","a"
"1644","c","c","a","c","c"
"1645","c","c","b","c","b"
"1646","c","c","a","c","c"
"1647","b","c","a","b","b"
"1648","a","b","a","a","a"
"1649","c","b","a","c","c"
"1650","b","c","a","a","b"
"1651","c","c","a","c","a"
"1652","c","c","a","c","b"
"1653","b","c","a","b","a"
"1654","a","a","a","a","a"
"1655","a","a","a","a","a"
"1656","b","a","a","b","c"
"1657","b","a","a","c","b"
"1658","c","c","a","b","a"
"1659","c","c","a","c","c"
"1660","c","c","a","a","c"
"1661","b","a","a","b","a"
"1662","a","a","b","c","b"
"1663","c","c","a","b","a"
"1664","b","b","b","a","b"
"1665","a","a","a","a","b"
"1666","b","a","c","c","c"
"1667","a","a","a","a","b"
"1668","b","a","a","c","a"
"1669","b","a","b","a","a"
"1670","b","a","b","a","a"
"1671","b","c","a","b","c"
"1672","c","c","b","b","c"
"1673","c","c","a","c","c"
"1674","b","b","b","a","a"
"1675","c","c","a","c","c"
"1676","c","c","a","a","b"
"1677","c","c","a","c","a"
"1678","b","c","c","b","a"
"1679","b","c","b","a","c"
"1680","b","a","a","b","b"
"1681","a","a","a","c","a"
"1682","b","b","a","b","a"
"1683","b","a","a","b","b"
"1684","c","c","a","c","a"
"1685","c","c","a","a","c"
"1686","b","a","a","c","c"
"1687","c","c","a","c","c"
"1688","a","c","a","a","a"
"1689","c","c","a","c","b"
"1690","c","c","b","b","c"
"1691","b","a","a","b","b"
"1692","a","a","b","c","c"
"1693","b","b","a","b","c"
"1694","c","c","a","c","c"
"1695","b","c","b","a","c"
"1696","a","a","a","a","b"
"1697","c","c","b","b","a"
"1698","c","b","a","a","a"
"1699","a","c","a","a","b"
"1700","b","a","a","b","b"
"1701","a","a","b","c","b"
"1702","b","c","a","b","c"
"1703","c","a","a","c","b"
"1704","b","a","a","b","a"
"1705","a","a","a","a","c"
"1706","a","a","a","a","b"
"1707","a","a","a","a","b"
"1708","a","a","a","a","a"
"1709","a","a","b","b","c"
"1710","c","c","a","c","a"
"1711","a","a","a","c","a"
"1712","b","a","a","b","b"
"1713","b","c","a","b","c"
"1714","c","c","a","c","c"
"1715","c","c","a","c","a"
"1716","b","a","b","a","a"
"1717","c","c","a","c","c"
"1718","c","a","c","b","b"
"1719","b","b","b","a","c"
"1720","b","a","a","b","a"
"1721","a","a","c","c","a"
"1722","c","c","a","c","b"
"1723","a","c","a","a","c"
"1724","b","b","a","b","a"
"1725","a","a","a","a","a"
"1726","c","b","a","c","b"
"1727","a","a","a","a","a"
"1728","b","a","a","c","a"
"1729","c","c","a","c","c"
"1730","b","a","a","b","a"
"1731","c","c","b","b","c"
"1732","c","c","b","c","b"
"1733","b","a","a","b","c"
"1734","c","b","b","b","b"
"1735","c","c","a","c","b"
"1736","a","b","b","a","a"
"1737","a","a","a","a","c"
"1738","a","a","a","a","a"
"1739","b","b","b","a","c"
"1740","b","c","a","b","b"
"1741","a","a","b","b","b"
"1742","a","c","a","a","b"
"1743","b","a","a","b","b"
"1744","c","c","b","a","c"
"1745","a","a","a","a","a"
"1746","a","a","a","a","b"
"1747","b","c","a","b","c"
"1748","c","c","a","c","b"
"1749","c","c","a","c","c"
"1750","c","a","a","c","b"
"1751","c","c","a","c","a"
"1752","c","c","a","b","c"
"1753","a","a","a","b","a"
"1754","b","c","a","b","c"
"1755","b","b","a","b","c"
"1756","c","c","b","a","b"
"1757","b","b","a","b","c"
"1758","c","c","a","c","c"
"1759","a","a","a","a","a"
"1760","c","a","a","c","b"
"1761","c","c","a","c","b"
"1762","c","c","a","a","c"
"1763","a","a","a","a","b"
"1764","c","c","c","a","c"
"1765","b","a","a","b","a"
"1766","a","a","a","a","a"
"1767","c","c","a","a","b"
"1768","b","b","a","b","b"
"1769","b","b","a","b","c"
"1770","c","c","a","c","b"
"1771","a","a","a","a","a"
"1772","b","a","a","a","b"
"1773","b","c","a","a","a"
"1774","c","a","a","c","b"
"1775","b","b","a","b","b"
"1776","c","c","a","c","b"
"1777","b","b","a","b","c"
"1778","a","a","a","a","b"
"1779","b","c","a","b","a"
"1780","c","c","a","c","b"
"1781","b","a","a","b","a"
"1782","b","c","b","a","b"
"1783","c","c","a","c","c"
"1784","c","b","a","c","c"
"1785","a","a","a","a","b"
"1786","b","c","a","b","b"
"1787","b","a","a","b","b"
"1788","c","c","a","c","b"
"1789","c","c","b","b","b"
"1790","c","c","b","a","b"
"1791","a","a","a","b","b"
"1792","a","a","a","a","a"
"1793","b","c","a","a","b"
"1794","c","b","b","b","b"
"1795","a","a","a","a","a"
"1796","b","a","a","b","a"
"1797","a","a","a","a","b"
"1798","b","a","a","b","a"
"1799","b","c","a","b","c"
"1800","a","a","b","c","a"
"1801","c","c","a","c","b"
"1802","b","c","a","b","c"
"1803","c","c","a","c","c"
"1804","a","a","a","a","b"
"1805","c","c","b","b","c"
"1806","c","a","b","c","b"
"1807","a","a","a","a","a"
"1808","b","a","a","c","a"
"1809","b","a","a","c","c"
"1810","c","b","b","c","b"
"1811","a","a","a","a","a"
"1812","c","c","a","a","c"
"1813","a","a","b","c","a"
"1814","b","a","c","b","b"
"1815","c","b","b","b","c"
"1816","b","b","a","c","c"
"1817","c","c","a","c","c"
"1818","b","a","a","b","c"
"1819","a","a","a","a","a"
"1820","a","a","a","a","b"
"1821","b","b","a","b","b"
"1822","b","c","b","a","b"
"1823","c","c","b","c","c"
"1824","b","a","a","c","b"
"1825","a","a","b","c","a"
"1826","a","a","a","a","a"
"1827","a","b","a","a","b"
"1828","b","a","b","a","c"
"1829","a","a","a","a","c"
"1830","a","a","a","a","c"
"1831","c","c","b","c","b"
"1832","b","a","a","b","c"
"1833","c","c","b","c","c"
"1834","a","a","a","a","a"
"1835","a","a","a","a","a"
"1836","c","c","b","a","c"
"1837","b","a","a","b","a"
"1838","b","a","a","b","b"
"1839","a","a","a","a","a"
"1840","c","c","a","c","c"
"1841","a","a","a","a","a"
"1842","b","a","a","b","a"
"1843","a","a","a","a","a"
"1844","c","c","a","c","c"
"1845","b","b","a","c","c"
"1846","a","a","b","c","a"
"1847","b","a","b","c","c"
"1848","a","a","a","a","a"
"1849","b","b","a","b","c"
"1850","a","c","a","a","c"
"1851","c","c","a","c","a"
"1852","a","a","a","a","a"
"1853","a","a","b","c","a"
"1854","b","c","b","a","b"
"1855","c","c","a","c","c"
"1856","a","a","a","a","a"
"1857","c","c","a","c","a"
"1858","c","c","a","c","a"
"1859","b","c","a","a","b"
"1860","a","c","c","a","b"
"1861","a","c","a","b","a"
"1862","b","c","a","b","c"
"1863","a","c","b","c","a"
"1864","c","c","a","a","c"
"1865","b","b","a","b","a"
"1866","a","c","a","a","c"
"1867","b","a","a","b","a"
"1868","b","a","a","b","b"
"1869","c","c","a","c","b"
"1870","a","a","a","a","a"
"1871","a","a","a","a","b"
"1872","c","c","a","c","a"
"1873","a","a","a","a","c"
"1874","b","c","a","a","c"
"1875","a","a","b","c","a"
"1876","c","c","a","c","c"
"1877","a","a","b","c","a"
"1878","b","a","b","a","a"
"1879","c","c","a","c","c"
"1880","a","c","b","c","a"
"1881","c","b","a","b","c"
"1882","a","a","a","a","a"
"1883","c","c","a","c","a"
"1884","b","b","c","b","a"
"1885","b","a","b","a","b"
"1886","a","a","a","a","a"
"1887","b","a","a","b","a"
"1888","b","c","a","a","c"
"1889","c","c","a","b","c"
"1890","b","c","b","a","b"
"1891","c","c","a","c","b"
"1892","b","c","b","c","a"
"1893","b","a","a","b","a"
"1894","a","a","a","a","b"
"1895","a","a","b","a","b"
"1896","c","c","a","c","a"
"1897","a","a","a","a","a"
"1898","a","a","a","a","a"
"1899","c","c","b","c","b"
"1900","b","a","a","b","a"
"1901","a","a","b","c","a"
"1902","c","c","a","c","a"
"1903","c","c","a","c","c"
"1904","c","c","c","a","b"
"1905","c","c","a","c","c"
"1906","b","c","a","c","c"
"1907","b","a","a","b","a"
"1908","a","a","a","a","b"
"1909","a","a","a","a","a"
"1910","a","a","a","a","a"
"1911","c","c","b","a","a"
"1912","b","a","a","b","a"
"1913","c","c","a","c","b"
"1914","b","c","a","a","c"
"1915","a","c","a","a","a"
"1916","b","c","a","c","c"
"1917","a","a","a","a","a"
"1918","a","a","a","a","a"
"1919","a","c","b","c","c"
"1920","c","c","a","c","c"
"1921","c","c","a","c","b"
"1922","c","c","a","c","b"
"1923","c","a","b","a","b"
"1924","c","a","a","b","a"
"1925","a","a","a","a","b"
"1926","a","a","a","a","a"
"1927","a","a","b","c","b"
"1928","a","a","a","a","a"
"1929","b","a","a","b","b"
"1930","b","b","b","a","b"
